"Location","Services","Service add-ons","Products","Memberships","Shipping fees","Late cancellation fees","No show fees","Total sales","Gift cards","Service charges","Tips","Total other sales","Total sales + other sales","Services sold","Avg. service value","Service add-ons sold","Avg. service add-on value","Products sold","Avg. product value","Services","Service add-ons","Products","Memberships","Gift cards","Total upsell","% Upsell","Online appts","Fresha marketplace","Book Now Link","Facebook","Instagram","Marketplace - Google Reserve","Auto campaigns","Blast messages","% Online appts","Offline appts","% Offline appts","Total appts","% requested by client","Cancelled appts","% Cancelled appts","No show appts","% No show appts","Online appts","Fresha marketplace","Book Now Link","Facebook","Instagram","Marketplace - Google Reserve","Auto campaigns","Blast messages","% Online appts","Offline appts","% Offline appts","Total appts value","Avg. service per appt","Avg. appt value","Gift card opening balance","Issued value","Expired value","Redeemed value","Refunded value","Gift card balance","Upfront payment opening balance","Collections","Redemptions","Refunds","Upfront payment balance","Total liabilities","Scheduled hours","Time off hours","Blocked hours","Available hours","Booked hours","% Occupancy","Unbooked hours","New clients","% New clients","Returning clients","% Returning clients","Walk-ins","% Walk-In clients","Total clients","Rebooked clients","% Rebooked clients","% Non-rebooked clients","Avg. client rating","No. of client reviews"
"Diamond Barbers Night Markets","1365","0","0","0","0","0","0","1365","0","10,49","4,5","10,49","1375,49","37","36,8918918919","0","0","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0%","28","100%","28","0%","0","0%","0","0%","0","0","0","0","0","0","0","0","0%","1365","100%","1365","1,321429","48,75","19","0","0","0","0","19","0","0","0","0","0","19","16h 0m","0m","30m","15h 40m","12h 5m","77,1277","3h 35m","3","50%","3","50%","22","78.5714%","6","0","0%","100%","0","0"
"Diamond Barbers Northern Beaches","5375,05","0","348","0","0","0","0","5723,05","0","226,36","150,01","226,36","5949,41","133","40,4139097744","0","0","11","31,6363636364","80","0","32","0","0","112","2.08370155%","86","16","61","0","0","9","0","0","74.1379%","30","25.8621%","116","61.2069%","4","3.4483%","2","1.7241%","4220,05","870,05","2994","0","0","356","0","0","74.82291824%","1420","25.17708176%","5640,05","1,206897","48,6211206897","150","0","0","0","0","150","0","0","0","0","0","150","93h 0m","0m","12h 30m","80h 30m","51h 55m","64,4928","28h 35m","17","17.1717%","82","82.8283%","10","9.1743%","99","0","0%","100%","5","9"
"Diamond Barbers Rising Sun","10294,6","0","292","0","0","46","75","10707,6","127,5","615,67","40,25","743,17","11450,77","253","40,6901185771","0","0","9","32,4444444444","70","0","128","0","0","198","1.92333845%","189","32","117","0","0","37","1","2","77.459%","55","22.541%","244","59.8361%","16","6.5574%","8","3.2787%","9206,6","1520,5","5611","0","0","1950,1","50","75","78.54388479%","2515","21.45611521%","11721,6","1,180328","48,0393442623","50","150","0","0","0","200","0","0","0","0","0","200","146h 0m","0m","25h 0m","121h 30m","96h 15m","79,2181","25h 15m","33","15.7143%","177","84.2857%","8","3.6697%","210","3","1.4286%","98.5714%","5","6"
"Diamond Barbers Showgrounds","8583,6","0","229","0","0","0","0","8812,6","0","467,41","151,69","467,41","9280,01","212","40,4886792453","0","0","8","28,625","0","0","0","0","0","0","0%","137","16","93","0","0","28","0","0","69.5431%","60","30.4569%","197","53.2995%","14","7.1066%","4","2.0305%","6691,6","741,25","4654,85","0","0","1295,5","0","0","69.20960635%","2977","30.79039365%","9668,6","1,213198","49,0791878173","341,66","0","0","0","0","341,66","0","0","0","0","0","341,66","137h 0m","0m","10h 20m","126h 50m","82h 40m","65,1774","44h 10m","31","20%","124","80%","23","12.9213%","155","2","1.2903%","98.7097%","5","8"
"Diamond Barbers Wulguru","2272,5","0","0","0","0","0","0","2272,5","0","107,77","17,88","107,77","2380,27","57","39,8684210526","0","0","0","0","0","0","0","0","0","0","0%","17","2","13","0","0","0","0","2","32.6923%","35","67.3077%","52","26.9231%","4","7.6923%","1","1.9231%","857,5","81","676,5","0","0","0","0","100","34.12935323%","1655","65.87064677%","2512,5","1,192308","48,3173076923","0","0","0","0","0","0","0","0","0","0","0","0","56h 50m","0m","8h 50m","48h 0m","19h 20m","40,2778","28h 40m","13","33.3333%","26","66.6667%","6","13.3333%","39","0","0%","100%","5","1"
