"Location","Services","Service add-ons","Products","Memberships","Shipping fees","Late cancellation fees","No show fees","Total sales","Gift cards","Service charges","Tips","Total other sales","Total sales + other sales","Services sold","Avg. service value","Service add-ons sold","Avg. service add-on value","Products sold","Avg. product value","Services","Service add-ons","Products","Memberships","Gift cards","Total upsell","% Upsell","Online appts","Fresha marketplace","Book Now Link","Facebook","Instagram","Marketplace - Google Reserve","Auto campaigns","Blast messages","AI Concierge","% Online appts","Offline appts","% Offline appts","Total appts","% requested by client","Cancelled appts","% Cancelled appts","No show appts","% No show appts","Online appts","Fresha marketplace","Book Now Link","Facebook","Instagram","Marketplace - Google Reserve","Auto campaigns","Blast messages","AI Concierge","% Online appts","Offline appts","% Offline appts","Total appts value","Avg. service per appt","Avg. appt value","Gift card opening balance","Issued value","Expired value","Redeemed value","Refunded value","Gift card balance","Prepayment opening balance","Collections","Redemptions","Refunds","Prepayment balance","Total liabilities","Scheduled hours","Time off hours","Blocked hours","Available hours","Booked hours","% Occupancy","Unbooked hours","New clients","% New clients","Returning clients","% Returning clients","Walk-ins","% Walk-In clients","Total clients","Rebooked clients","% Rebooked clients","% Non-rebooked clients","Avg. client rating","No. of client reviews"
"Diamond Barbers - BELLAMACK","9636,6","20","194,91","0","0","24,38","86","9961,89","0","116,53","167,28","116,53","10078,42","259","37,2069498069","2","10","5","38,982","0","10","116,96","0","0","126,96","1.31747712%","149","19","99","0","0","31","0","0",,"71.6346%","59","28.3654%","208","43.75%","10","4.8077%","3","1.4423%","7539,1","1057,5","4962,6","0","0","1519","0","0",,"72.56041809%","2851","27.43958191%","10390,1","1,341346","49,9524038462","-433,98","180","0","0","0","-253,98","146,38","1547,62","-1497,14","0","196,86","-57,12","155h 0m","0m","16h 40m","138h 30m","85h 20m","61,6125","53h 10m","28","15.5556%","152","84.4444%","9","4.7619%","180","4","2.2222%","97.7778%","5","10"
"Diamond Barbers - CASUARINA","11030,3","10","289","-250","0","21,38","0","11100,68","0","201,59","65,8","201,59","11302,27","285","38,7028070175","1","10","9","32,1111111111","0","0","0","0","0","0","0%","130","25","78","0","0","27","0","0",,"51.3834%","123","48.6166%","253","35.9684%","20","7.9051%","4","1.581%","6377,8","1436,25","3626,55","0","0","1315","0","0",,"52.33796714%","5808","47.66203286%","12185,8","1,245059","48,1652173913","296","0","0","0","0","296","104,48","1581,42","-1566,27","-40,38","79,25","375,25","169h 0m","0m","14h 40m","154h 20m","99h 55m","64,7408","54h 25m","40","24.8447%","121","75.1553%","65","28.7611%","161","0","0%","100%","4,888889","9"
"Diamond Barbers - COOLALINGA","8047,85","20","182","0","0","0","48","8297,85","0","147,42","242,83","147,42","8445,27","220","36,5811363636","2","10","6","30,3333333333","0","10","0","0","0","10","0.12425679%","122","21","75","0","0","26","0","0",,"66.3043%","62","33.6957%","184","45.1087%","7","3.8043%","4","2.1739%","5725,35","1156,5","3376,35","0","0","1192,5","0","0",,"67.07023494%","2811","32.92976506%","8536,35","1,255435","46,3932065217","508,19","0","0","0","0","508,19","90,86","1451,22","-1337,15","-50,48","154,45","662,64","141h 0m","0m","12h 0m","129h 5m","73h 25m","56,8754","55h 40m","22","14.8649%","126","85.1351%","21","12.426%","148","2","1.3514%","98.6486%","5","11"
"Diamond Barbers - DARWIN CBD","11625,51","40","179,74","0","0","32,5","164,5","12042,25","0","125,1","329,19","125,1","12167,35","290","40,0879655172","4","10","6","29,9566666667","25","10","45,74","0","0","80,74","0.69450717%","148","22","94","0","0","32","0","0",,"57.1429%","111","42.8571%","259","39.7683%","14","5.4054%","6","2.3166%","7193,01","1042,65","4740,36","0","0","1410","0","0",,"56.8078054%","5469","43.1921946%","12662,01","1,216216","48,8880694981","-51,85","0","0","0","0","-51,85","222,1","2064,09","-2149,9","-60,57","75,72","23,87","185h 0m","0m","18h 55m","166h 55m","108h 35m","65,0524","58h 20m","59","30.2564%","136","69.7436%","38","16.309%","195","2","1.0256%","98.9744%","5","11"
"Diamond Barbers - DELUXE","1743,7","73","0","200","0","0","0","2016,7","0","17,38","28,37","17,38","2034,08","33","52,8393939394","3","24,3333333333","0","0","40,5","45","0","0","0","85,5","4.9033664%","14","3","10","0","0","1","0","0",,"50%","14","50%","28","21.4286%","3","10.7143%","0","0%","943,5","255","623,5","0","0","65","0","0",,"47.61063733%","1038,2","52.38936267%","1981,7","1,321429","70,775","1000,4","0","0","0","0","1000,4","0","1222,42","-428,54","0","793,88","1794,28","38h 0m","0m","0m","38h 0m","14h 40m","38,5965","23h 20m","5","20.8333%","19","79.1667%","1","4%","24","1","4.1667%","95.8333%","5","3"
"Diamond Barbers - HAIR CLINIC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0",,"0%","0","0%","0","0%","0","0%","0","0%","0","0","0","0","0","0","0","0",,"0%","0","0%","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10h 0m","0m","0m","10h 0m","0m","0","10h 0m","0","0%","0","0%","0","0%","0","0","0%","100%","0","0"
"Diamond Barbers - PARAP","10829,75","10","361,6","900","0","0","105","12206,35","0","122,17","153,9","122,17","12328,52","288","37,6032986111","1","10","11","32,8727272727","20","0","157,6","0","0","177,6","1.63992705%","160","19","113","1","0","27","0","0",,"63.4921%","92","36.5079%","252","41.6667%","15","5.9524%","1","0.3968%","7575,75","932","5294,25","50","0","1299,5","0","0",,"65.20840955%","4042","34.79159045%","11617,75","1,218254","46,1021825397","1787,23","0","0","-17,04","0","1770,19","100,96","1774,53","-1753,34","-60,57","61,58","1831,77","182h 0m","0m","19h 30m","162h 30m","99h 55m","61,4872","62h 35m","32","16.1616%","166","83.8384%","33","14.2857%","198","2","1.0101%","98.9899%","5","10"
"Diamond Barbers - YARRAWONGA","5874,42","10","126,95","0","0","0","0","6011,37","0","61,51","280,93","61,51","6072,88","153","38,3949019608","1","10","5","25,39","92","0","0","0","0","92","1.56611206%","79","13","53","0","0","13","0","0",,"63.7097%","45","36.2903%","124","39.5161%","2","1.6129%","2","1.6129%","3733,05","608","2514,3","0","0","610,75","0","0",,"61.70922171%","2316,37","38.29077829%","6049,42","1,274194","48,7856451613","852,81","0","0","0","0","852,81","0","1201,59","-1201,59","0","0","852,81","94h 0m","0m","7h 0m","87h 0m","54h 35m","62,7395","32h 25m","19","19.5876%","78","80.4124%","20","17.094%","97","1","1.0309%","98.9691%","4,833333","6"
"Diamond Barbers BERRIMAH","4082","10","218","0","0","17,5","0","4327,5","0","49,01","73,7","49,01","4376,51","107","38,1495327103","1","10","7","31,1428571429","0","0","68","0","0","68","1.66585007%","43","3","32","0","0","8","0","0",,"46.7391%","49","53.2609%","92","20.6522%","3","3.2609%","3","3.2609%","2162","140","1662","0","0","360","0","0",,"48.67176947%","2280","51.32823053%","4442","1,26087","48,2826086957","0","0","0","0","0","0","0","990,39","-929,82","0","60,57","60,57","89h 0m","0m","1h 50m","94h 40m","37h 20m","39,4366","57h 20m","12","20.6897%","46","79.3103%","26","30.9524%","58","1","1.7241%","98.2759%","5","7"
