"Location","Services","Service add-ons","Products","Memberships","Shipping fees","Late cancellation fees","No show fees","Total sales","Gift cards","Service charges","Tips","Total other sales","Total sales + other sales","Services sold","Avg. service value","Service add-ons sold","Avg. service add-on value","Products sold","Avg. product value","Services","Service add-ons","Products","Memberships","Gift cards","Total upsell","% Upsell","Online appts","Fresha marketplace","Book Now Link","Facebook","Instagram","Marketplace - Google Reserve","Auto campaigns","Blast messages","AI Concierge","% Online appts","Offline appts","% Offline appts","Total appts","% requested by client","Cancelled appts","% Cancelled appts","No show appts","% No show appts","Online appts","Fresha marketplace","Book Now Link","Facebook","Instagram","Marketplace - Google Reserve","Auto campaigns","Blast messages","AI Concierge","% Online appts","Offline appts","% Offline appts","Total appts value","Avg. service per appt","Avg. appt value","Gift card opening balance","Issued value","Expired value","Redeemed value","Refunded value","Gift card balance","Prepayment opening balance","Collections","Redemptions","Refunds","Prepayment balance","Total liabilities","Scheduled hours","Time off hours","Blocked hours","Available hours","Booked hours","% Occupancy","Unbooked hours","New clients","% New clients","Returning clients","% Returning clients","Walk-ins","% Walk-In clients","Total clients","Rebooked clients","% Rebooked clients","% Non-rebooked clients","Avg. client rating","No. of client reviews"
"Diamond Barbers Night Markets","2300","0","119,95","0","0","0","0","2419,95","0","73,91","33,5","73,91","2493,86","57","40,350877193","0","0","4","29,9875","0","0","0","0","0","0","0%","4","0","0","0","0","4","0","0",,"8%","46","92%","50","6%","0","0%","0","0%","190","0","0","0","0","190","0","0",,"8.15450644%","2140","91.84549356%","2330","1,16","46,6","19","0","0","0","0","19","50,48","50,48","-50,48","0","50,48","69,48","35h 0m","0m","0m","35h 0m","20h 45m","59,2857","14h 15m","3","60%","2","40%","45","90%","5","0","0%","100%","0","0"
"Diamond Barbers Northern Beaches","5709,5","0","56","0","0","17,5","0","5783","135","103,72","158,58","238,72","6021,72","152","37,5625","0","0","3","18,6666666667","25","0","0","0","0","25","0.43786671%","91","22","49","0","0","19","1","0",,"69.4656%","40","30.5344%","131","58.0153%","6","4.5802%","1","0.7634%","4329,5","1071,25","2263","0","0","974","21,25","0",,"71.44978959%","1730","28.55021041%","6059,5","1,236641","46,2557251908","250","150","0","-70,67","0","329,33","121,14","1789,17","-1849,73","0","60,58","389,91","123h 30m","0m","13h 45m","109h 45m","54h 50m","49,962","54h 55m","23","21.1009%","86","78.8991%","14","11.3821%","109","0","0%","100%","5","4"
"Diamond Barbers Rising Sun","14117,5","0","185,95","0","0","22","50","14375,45","0","411,32","126,1","411,32","14786,77","337","41,8916913947","0","0","5","37,19","50","0","102","0","0","152","1.07667788%","255","53","153","0","0","49","0","0",,"80.6962%","61","19.3038%","316","55.3797%","18","5.6962%","5","1.5823%","12335,5","2504,5","7424,5","0","0","2406,5","0","0",,"81.17863841%","2860","18.82136159%","15195,5","1,148734","48,0870253165","122,85","0","0","0","0","122,85","287,71","3587,98","-3315,39","-40,38","519,92","642,77","212h 30m","0m","38h 15m","174h 15m","130h 35m","74,9402","43h 40m","43","16.2264%","222","83.7736%","27","9.2466%","265","1","0.3774%","99.6226%","4,894737","19"
"Diamond Barbers Showgrounds","12041,25","0","566","0","0","40","95","12742,25","0","272,24","265,17","272,24","13014,49","298","40,4068791946","0","0","17","33,2941176471","0","0","126","0","0","126","1.04640299%","180","29","125","0","0","26","0","0",,"68.9655%","81","31.0345%","261","50.9579%","16","6.1303%","2","0.7663%","8871,25","1469,5","6081,25","0","0","1320,5","0","0",,"66.82045005%","4405","33.17954995%","13276,25","1,252874","50,8668582375","391,66","0","0","0","0","391,66","262,49","2773,42","-2653,3","-70,67","311,94","703,6","183h 0m","0m","11h 25m","172h 0m","116h 40m","67,8295","55h 20m","34","17.7083%","158","82.2917%","45","18.9873%","192","0","0%","100%","4,916667","12"
"Diamond Barbers Wulguru","4063,5","0","78","0","0","12,5","47,5","4201,5","0","113,77","0","113,77","4315,27","101","40,2326732673","0","0","3","26","0","0","66","0","0","66","1.62421558%","59","7","36","0","0","16","0","0",,"67.8161%","28","32.1839%","87","33.3333%","3","3.4483%","1","1.1494%","2971","323","1863","0","0","785","0","0",,"69.97173811%","1275","30.02826189%","4246","1,218391","48,8045977011","0","0","0","0","0","0","85,81","678,92","-764,73","0","0","0","67h 0m","0m","6h 0m","61h 0m","36h 45m","60,2459","24h 15m","17","24.6377%","52","75.3623%","14","16.8675%","69","0","0%","100%","5","7"
